| *$#gamma#gamma        $* |  1.00 | 0.13 | 0.17 | 0.04 | 0.00 | 0.00 | -0.20 | -0.01 | 0.00 | 0.01 | 0.02 | 0.00 | 0.01 | 0.01 | 0.00 | 0.01 | 0.01 | 0.01 | 0.04 | 0.00 | 0.01 | 0.01 | 0.00 |
| *$ZZ                  $* |  0.13 | 1.00 | 0.19 | 0.04 | 0.00 | 0.00 | 0.00 | -0.28 | 0.00 | 0.01 | 0.01 | -0.09 | 0.01 | 0.02 | 0.00 | 0.01 | 0.04 | 0.00 | 0.01 | 0.02 | 0.01 | 0.01 | 0.00 |
| *$WW                  $* |  0.17 | 0.19 | 1.00 | 0.01 | 0.00 | 0.01 | 0.01 | 0.01 | -0.21 | 0.03 | 0.01 | 0.02 | -0.11 | 0.03 | 0.00 | -0.02 | 0.04 | 0.01 | 0.01 | 0.01 | 0.01 | 0.01 | 0.00 |
| *$#tau#tau            $* |  0.04 | 0.04 | 0.01 | 1.00 | 0.00 | 0.00 | -0.01 | 0.00 | 0.01 | -0.43 | 0.01 | 0.00 | 0.00 | -0.02 | 0.00 | 0.01 | -0.02 | 0.00 | 0.00 | 0.00 | 0.01 | 0.00 | -0.01 |
| *$bb                  $* |  0.00 | 0.00 | 0.00 | 0.00 | 1.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | -0.01 | 0.00 | 0.00 | -0.01 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 |
| *$#mu#mu              $* |  0.00 | 0.00 | 0.01 | 0.00 | 0.00 | 1.00 | 0.00 | 0.00 | 0.00 | 0.00 | -0.54 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 |
| *$#gamma#gamma        $* |  -0.20 | 0.00 | 0.01 | -0.01 | 0.00 | 0.00 | 1.00 | -0.01 | 0.01 | 0.01 | 0.00 | 0.00 | 0.01 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | -0.02 | 0.00 | 0.00 | 0.00 | 0.00 |
| *$ZZ                  $* |  -0.01 | -0.28 | 0.01 | 0.00 | 0.00 | 0.00 | -0.01 | 1.00 | -0.02 | 0.00 | 0.00 | 0.02 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | -0.05 | 0.01 | 0.00 | 0.00 |
| *$WW                  $* |  0.00 | 0.00 | -0.21 | 0.01 | 0.00 | 0.00 | 0.01 | -0.02 | 1.00 | -0.10 | 0.00 | 0.00 | 0.01 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 |
| *$#tau#tau            $* |  0.01 | 0.01 | 0.03 | -0.43 | 0.00 | 0.00 | 0.01 | 0.00 | -0.10 | 1.00 | 0.00 | 0.00 | 0.01 | 0.01 | 0.00 | 0.00 | 0.01 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.01 |
| *$#mu#mu              $* |  0.02 | 0.01 | 0.01 | 0.01 | 0.00 | -0.54 | 0.00 | 0.00 | 0.00 | 0.00 | 1.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 |
| *$VH ZZ               $* |  0.00 | -0.09 | 0.02 | 0.00 | 0.00 | 0.00 | 0.00 | 0.02 | 0.00 | 0.00 | 0.00 | 1.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.01 | 0.00 | 0.00 | -0.14 | 0.01 | 0.00 | 0.00 |
| *$WW                  $* |  0.01 | 0.01 | -0.11 | 0.00 | 0.00 | 0.00 | 0.01 | 0.00 | 0.01 | 0.01 | 0.00 | 0.00 | 1.00 | -0.11 | 0.00 | -0.05 | 0.01 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 |
| *$#tau#tau            $* |  0.01 | 0.02 | 0.03 | -0.02 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.01 | 0.00 | 0.00 | -0.11 | 1.00 | 0.00 | 0.01 | -0.01 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 |
| *$bb                  $* |  0.00 | 0.00 | 0.00 | 0.00 | -0.01 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 1.00 | 0.00 | 0.00 | -0.03 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 |
| *$WW                  $* |  0.01 | 0.01 | -0.02 | 0.01 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | -0.05 | 0.01 | 0.00 | 1.00 | -0.13 | -0.01 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 |
| *$#tau#tau            $* |  0.01 | 0.04 | 0.04 | -0.02 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.01 | 0.00 | 0.01 | 0.01 | -0.01 | 0.00 | -0.13 | 1.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.01 | 0.00 |
| *$bb                  $* |  0.01 | 0.00 | 0.01 | 0.00 | -0.01 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | -0.03 | -0.01 | 0.00 | 1.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 |
| *$#gamma#gamma        $* |  0.04 | 0.01 | 0.01 | 0.00 | 0.00 | 0.00 | -0.02 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 1.00 | 0.00 | -0.03 | -0.06 | -0.02 |
| *$ZZ                  $* |  0.00 | 0.02 | 0.01 | 0.00 | 0.00 | 0.00 | 0.00 | -0.05 | 0.00 | 0.00 | 0.00 | -0.14 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 1.00 | -0.09 | -0.02 | 0.00 |
| *$WW                  $* |  0.01 | 0.01 | 0.01 | 0.01 | 0.00 | 0.00 | 0.00 | 0.01 | 0.00 | 0.00 | 0.00 | 0.01 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | -0.03 | -0.09 | 1.00 | 0.05 | -0.33 |
| *$bb                  $* |  0.01 | 0.01 | 0.01 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.01 | 0.00 | -0.06 | -0.02 | 0.05 | 1.00 | 0.03 |
| *$#tau#tau            $* |  0.00 | 0.00 | 0.00 | -0.01 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.01 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | -0.02 | 0.00 | -0.33 | 0.03 | 1.00 |
