#: table_doi: 10.17182/hepdata.102525.v4/t8
#: name: Fermionic and bosonic signal strengths: 68% CL
#: description: Result of the 2D likelihood scan for the bosonic and fermionic signal strength modifiers. Contour for the 68% CL region.
#: data_file: rvrf_68CL.yaml
#: keyword reactions: P P --> H-> Z Z X
#: keyword cmenergies: 13000.0
#: SQRT(S) [TeV],13
#: MH [GeV],125.38
#: Observed best fit value,$\mu_{\text{VBF,VH}}=0.82^{+0.36}_{-0.31}$, $\mu_{\text{ggH,bbH,ttH,tH}}=0.96^{+0.14}_{-0.12}$
#: Expected best fit value,$\mu_{\text{VBF,VH}}=1.00^{+0.36}_{-0.33}$, $\mu_{\text{ggH,bbH,ttH,tH}}=1.00^{+0.15}_{-0.13}$
"$\mu_{\text{ggH,bbH,ttH,tH}}$","$\mu_{\text{VBF,VH}}$"
0.7946545,0.8011555
0.8068132,0.7216976
0.8234141,0.6508667
0.8440486,0.5890322
0.8682083,0.5380425
0.8952986,0.4959925
0.9246523,0.4653743
0.9555467,0.444551
0.9872209,0.4339962
1.007457,0.4320505
1.018895,0.4323317
1.04979,0.4398249
1.079143,0.4568159
1.106234,0.4819416
1.130393,0.5162438
1.151028,0.5586664
1.167629,0.6073941
1.179787,0.6637347
1.187204,0.7278373
1.189697,0.785064
1.189697,0.7958162
1.189697,0.8021827
1.187204,0.8693743
1.179787,0.9444563
1.167629,1.021309
1.151028,1.097697
1.130393,1.171556
1.106234,1.241166
1.079143,1.30372
1.04979,1.357326
1.018895,1.399479
0.9872209,1.430071
0.9555467,1.445651
0.9395373,1.44774
0.9246523,1.44612
0.8952986,1.431143
0.8682083,1.399637
0.8440486,1.352852
0.8234141,1.292444
0.8068132,1.220934
0.7946545,1.139587
0.7872374,1.0503
0.7847446,0.9694523
0.7847446,0.9691433
0.7847446,0.9691211
0.7872374,0.8886539
0.7946545,0.8011555

