#: table_doi: 10.17182/hepdata.102459.v2/t1
#: name: Signal strengths
#: description: Best-fit values and 68% confidence intervals for the signal strength modifiers. The uncertainty is decomposed ino the theoretical systematic, experimental systematic and statistical components. Additionally, the expected uncertainties derived using an asimov dataset are provided.
#: data_file: signal_strengths.yaml
#: keyword reactions: P P --> H ( --> GAMMA GAMMA ) X
#: keyword cmenergies: 13000
#: SQRT(S) [TeV],13
#: MH [GeV],125.38
Parameter,Observed,Total +,Total -,Th. syst +,Th. syst -,Exp. syst +,Exp. syst -,Stat only +,Stat only -
$\mu_{ggH}$,1.071,0.118,-0.111,0.076,-0.063,0.035,-0.031,0.084,-0.086
$\mu_{VBF}$,1.044,0.345,-0.313,0.138,-0.075,0.07,-0.058,0.308,-0.299
$\mu_{VH}$,1.338,0.361,-0.333,0.074,-0.064,0.051,-0.037,0.349,-0.324
$\mu_{top}$,1.349,0.336,-0.28,0.168,-0.105,0.077,-0.053,0.281,-0.254
$\mu$ (inclusive),1.121,0.095,-0.09,0.059,-0.058,0.033,-0.028,0.066,-0.062

#: SQRT(S) [TeV],13
#: MH [GeV],125.38
Parameter,Expected,Total +,Total -,Th. syst +,Th. syst -,Exp. syst +,Exp. syst -,Stat only +,Stat only -
$\mu_{ggH}$,1.0,0.12,-0.111,0.072,-0.06,0.033,-0.03,0.091,-0.089
$\mu_{VBF}$,1.0,0.333,-0.292,0.193,-0.129,0.062,-0.053,0.264,-0.257
$\mu_{VH}$,1.0,0.369,-0.321,0.074,-0.049,0.039,-0.026,0.36,-0.316
$\mu_{top}$,1.0,0.315,-0.258,0.133,-0.062,0.057,-0.039,0.28,-0.247
$\mu$ (inclusive),1.0,0.095,-0.088,0.06,-0.051,0.031,-0.028,0.067,-0.065

